Title,Directors,genres,Actors
The Godfather,Francis Ford Coppola,"Drama, Mafia, Crime, 1940s, 1950s, Family Relationships, Cult Movie","Marlon Brando, Al Pacino, James Caan, Robert Duvall, Diane Keaton, John Cazale, Talia Shire, Richard S. Castellano, Sterling Hayden, Gianni Russo, Rudy Bond, John Marley, Richard Conte"
The Godfather: Part II,Francis Ford Coppola,"Drama, Mafia, Crime, Family Relationships, 1910s, 1920s, 1950s, Sequel, Prequel, ""New Years Eve""","Al Pacino, Robert De Niro, Diane Keaton, Robert Duvall, John Cazale, Lee Strasberg, Talia Shire, Gastone Moschin, Michael V. Gazzo, Marianna Hill, Bruno Kirby, Danny Aiello, Harry Dean Stanton"
12 Angry Men,Sidney Lumet,"Drama, Mystery, Courtroom Drama / Lawyers, One Location","Henry Fonda, Lee J. Cobb, Jack Warden, E.G. Marshall, Martin Balsam, Ed Begley, John Fiedler, Robert Webber, Jack Klugman, George Voskovec, Joseph Sweeney, Edward Binns, Billy Nelson, John Savoca, Rudy Bond, James Kelly"
Schindler's List,Steven Spielberg,"Drama, Nazism, Holocaust, Based on a true story, II World War","Liam Neeson, Ben Kingsley, Ralph Fiennes, Caroline Goodall, Jonathan Sagall, Embeth Davidtz, Norbert Weisser, Martin S. Bergmann, Mark Ivanir, Malgorzata Gebel, Shmuel Levy, Michael Schneider, Joachim Paul Assböck"
Witness for the Prosecution,Billy Wilder,"Mystery, Drama, Courtroom Drama / Lawyers","Tyrone Power, Marlene Dietrich, Charles Laughton, Elsa Lanchester, John Williams, ""Una OConnor"", Henry Daniell, Norma Varden, Torin Thatcher, Ian Wolfe, Francis Compton"
City Lights,Charles Chaplin,"Comedy, Romance, Silent Film, Poverty, Romantic Comedy, Comedy-Drama, Disability, Blindness","Charles Chaplin, Virginia Cherrill, Florence Lee, Harry Myers, Allan Garcia, Hank Mann, Jack Alexander, Tom Dempsey, Henry Bergman"
The Shawshank Redemption,Frank Darabont,"Drama, Prison Drama, Friendship, 1940s, 1950s, Cult Movie","Tim Robbins, Morgan Freeman, Bob Gunton, James Whitmore, Gil Bellows, William Sadler, Mark Rolston, Clancy Brown, David Proval, Jeffrey DeMunn, Jude Ciccolella, Don McManus, Alfonso Freeman"
Modern Times,Charles Chaplin,"Comedy, Satire, Comedy-Drama, Social Drama, Job/Employment, Silent Film, Cult Movie","Charles Chaplin, Paulette Goddard, Henry Bergman, Chester Conklin, Stanley Stanford, Hank Mann, Louis Natheaux, Allan Garcia"
The Great Dictator,Charles Chaplin,"Comedy, Satire, Nazism, II World War, Propaganda","Charles Chaplin, Paulette Goddard, Jack Oakie, Reginald Gardiner, Henry Daniell, Carter De Haven, Grace Hayle, Maurice Moscovitch, Billy Gilbert"
Pulp Fiction,Quentin Tarantino,"Thriller, Crime, Ensemble Film, Cult Movie, Black Comedy","John Travolta, Samuel L. Jackson, Uma Thurman, Bruce Willis, Ving Rhames, Harvey Keitel, Tim Roth, Amanda Plummer, María de Medeiros, Eric Stoltz, Rosanna Arquette, Christopher Walken, Paul Calderon"
The Sting,George Roy Hill,"Mystery, Comedy, Drama, Crime, Gambling, 1930s, Mafia, Heist Film, Revenge, Cult Movie","Robert Redford, Paul Newman, Robert Shaw, Charles Durning, Ray Walston, Eileen Brennan, Harold Gould, Dana Elcar, John Heffernan, Charles Dierkop, Dimitra Arliss, Robert Earl Jones, Lee Paul, Avon Long"
To Be or Not to Be,Ernst Lubitsch,"Comedy, Mystery, Satire, II World War, Nazism, Stage Play, Black Comedy, Screwball comedy","Carole Lombard, Jack Benny, Robert Stack, Stanley Ridges, Felix Bressart, Lionel Atwill, Sig Ruman, Tom Dugan, Charles Halton, George Lynn"
Harakiri,Masaki Kobayashi,"Drama, 17th Century, Feudal Japan, Samurai, Cult Movie","Tatsuya Nakadai, Rentarô Mikuni, Akira Ishihama, Shima Iwashita, Tetsurô Tanba, Masao Mishima, Ichirô Nakatani, Kei Sato, Yoshio Inaba, Hisashi Igawa, Tôru Takeuchi, Yoshio Aoki, Tatsuo Matsumura"
Sunset Boulevard,Billy Wilder,"Film noir, Drama, Film In Film, Literature, Old Age / Elderly, ""New Years Eve""","William Holden, Gloria Swanson, Erich von Stroheim, Nancy Olson, Lloyd Gough, Jack Webb, Fred Clark, Cecil B. DeMille, Buster Keaton, Anna Q. Nilsson, Hedda Hopper, H.B. Warner, Franklyn Farnum, Julia Faye, Ruth Clifford"
Life Is Beautiful,Roberto Benigni,"Comedy, Drama, Comedy-Drama, Nazism, Holocaust, II World War, 1930s, 1940s","Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini, Marisa Paredes, Giustino Durano, Horst Buchholz, Sergio Bini Bustric"
All About Eve,Joseph L. Mankiewicz,"Drama, Stage Play, Cult Movie","Bette Davis, Anne Baxter, George Sanders, Celeste Holm, Gary Merrill, Hugh Marlowe, Gregory Ratoff, Barbara Bates, Marilyn Monroe, Thelma Ritter"
Paths of Glory,Stanley Kubrick,"War, Drama, I World War, Army, Cult Movie","Kirk Douglas, George Macready, Adolphe Menjou, Ralph Meeker, Wayne Morris, Joe Turkel, Richard Anderson, Timothy Carey, Peter Capell, Christiane Kubrick, Bert Freed, Emile Meyer"
Seven Samurai,Akira Kurosawa,"Adventure, Drama, Feudal Japan, 16th Century, Samurai, Cult Movie","Toshirô Mifune, Takashi Shimura, Yoshio Inaba, Seiji Miyaguchi, Minoru Chiaki, Daisuke Kato, Isao Kimura, Kamatari Fujiwara, Keiko Tsushima, Yoshio Tsuchiya, Kokuten Kôdô"
High and Low,Akira Kurosawa,"Film noir, Thriller, Mystery, Drama, Crime, Cop Movies, Kidnapping Film / Disappearance","Toshirô Mifune, Kyôko Kagawa, Yutaka Sada, Takashi Shimura, Tatsuya Mihashi, Tatsuya Nakadai, Kenji Kodama, Isao Kimura, Kenjiro Ishiyama, Takeshi Katô, Jun Tazaki, Nobuo Nakamura, Yûnosuke Itô"
Sunrise,F.W. Murnau,"Drama, Romance, Romantic Drama, Melodrama, German Expressionism, Silent Film, Cult Movie","""George OBrien"", Janet Gaynor, Margaret Livingston, Bodil Rosing"
Double Indemnity,Billy Wilder,"Film noir, Mystery, Thriller, Crime","Fred MacMurray, Barbara Stanwyck, Edward G. Robinson, Tom Powers, Porter Hall, Jean Heather, Byron Barr, Richard Gaines, Fortunio Bonanova, John Philliber, Bess Flowers, Miriam Franklin"
The Apartment,Billy Wilder,"Comedy, Romance, Drama, Comedy-Drama, Christmas, Cult Movie, ""New Years Eve""","Jack Lemmon, Shirley MacLaine, Fred MacMurray, Ray Walston, Edie Adams, Jack Kruschen, Joan Shawlee, Hope Holiday, David Lewis, Naomi Stevens, Johnny Seven, Joyce Jameson, Willard Waterman, David White"
City of God,"Fernando Meirelles, Kátia Lund","Drama, Based on a true story, Teen/coming-of-age, Poverty, Crime, 1960s, 1970s, 1980s, Drugs, Cult Movie, Street Gang","Alexandre Rodrigues, Leandro Firmino, Phellipe Haagensen, Douglas Silva, Seu Jorge, Jonathan Haagensen, Matheus Nachtergaele, Jefechander Suplino, Alice Braga, Emerson Gomes, Luis Otávio, Babu Santana, Gero Camilo"
The Kid,Charles Chaplin,"Comedy, Drama, Poverty, Silent Film, Comedy-Drama, Cult Movie","Charles Chaplin, Jackie Coogan, Edna Purviance, Carl Miller, Tom Wilson, Henry Bergman, Lita Grey"
Psycho,Alfred Hitchcock,"Horror, Mystery, Thriller, Serial Killers, Slasher, Psychological Thriller, Cult Movie","Anthony Perkins, Janet Leigh, John Gavin, Vera Miles, John McIntire, Martin Balsam, Simon Oakland, Patricia Hitchcock"
The Hole (The Night Watch),Jacques Becker,"Drama, Prison Drama, Based on a true story","Philippe Leroy, Marc Michel, Michel Constantin, Jean Kéraudy, Raymond Meunier"
The Gold Rush,Charles Chaplin,"Comedy, Drama, Adventure, Silent Film, 1900s, Comedy-Drama, ""New Years Eve""","Charles Chaplin, Mack Swain, Georgia Hale, Tom Murray, Malcom Waite, Henry Bergman, Betty Morrisey"
Goodfellas,Martin Scorsese,"Thriller, Drama, Mafia, Crime, 1970s, 1980s, Cult Movie, Based on a true story","Ray Liotta, Robert De Niro, Joe Pesci, Lorraine Bracco, Paul Sorvino, Chuck Low, Christopher Serrone, Debi Mazar, Gina Mastrogiacomo, Frank Sivero, Illeana Douglas, Tony Darrow, Frank DiLeo"
Casablanca,Michael Curtiz,"Drama, Romance, Romantic Drama, II World War, Africa, Nazism","Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains, Conrad Veidt, Sydney Greenstreet, Peter Lorre, S.Z. Sakall, Madeleine LeBeau, Dooley Wilson, Joy Page, John Qualen, Leonid Kinskey"
One Flew Over the Cuckoo's Nest,Milos Forman,"Drama, Disease/illness, Disability, Comedy-Drama, Cult Movie","Jack Nicholson, Louise Fletcher, Brad Dourif, William Redfield, Mews Small, Sydney Lassick, Will Sampson, Christopher Lloyd, Danny DeVito, Dean R. Brooks, William Duell, Scatman Crothers, Nathan George"
The Man Who Shot Liberty Valance,John Ford,"Western, Cult Movie, Courtroom Drama / Lawyers","John Wayne, James Stewart, Vera Miles, Lee Marvin, ""Edmond OBrien"", Andy Devine, Ken Murray, John Carradine, Jeanette Nolan, John Qualen, Willis Bouchey, Carleton Young, Woody Strode"
Cinema Paradiso,Giuseppe Tornatore,"Drama, Comedy, Melodrama, Film In Film","Philippe Noiret, Marco Leonardi, Salvatore Cascio, Jacques Perrin, Agnese Nano, Brigitte Fossey, Antonella Attili, Enzo Cannavale, Isa Danieli, Leo Gullotta, Pupella Maggio, Leopoldo Trieste"
American History X,Tony Kaye,"Drama, Racism, Prison Drama, Nazism, Street Gang, Cult Movie","Edward Norton, Edward Furlong, Fairuza Balk, Stacy Keach, Elliott Gould, Avery Brooks, ""Beverly DAngelo"", Jennifer Lien, Guy Torry, Ethan Suplee, Keram Malicki-Sánchez"
Red Beard,Akira Kurosawa,"Drama, Medical, 19th Century","Toshirô Mifune, Yûzô Kayama, Yoshio Tsuchiya, Kyôko Kagawa, Tatsuyoshi Ehara, Reiko Dan, Kamatari Fujiwara, Akemi Negishi, Eijirô Tono, Takashi Shimura, Miyuki Kuwano, Tsutomu Yamazaki, Yoshitaka Zushi"
The Young and the Damned,Luis Buñuel,"Drama, Social Drama, Poverty, Childhood, Cult Movie","Estela Inda, Miguel Inclán, Alfonso Mejía, Roberto Cobo, Alma Delia Fuentes, Francisco Jambrina, Sergio Virel, Jorge Pérez Martínez"
M,Fritz Lang,"Thriller, Mystery, Crime, Serial Killers, German Expressionism, Cult Movie","Peter Lorre, Otto Wernicke, Gustaf Gründgens, Theo Lingen, Theodor Loos, Georg John, Ellen Widman, Inge Landgut"
The Grapes of Wrath,John Ford,"Drama, Poverty, The Great Depression, Small Town Life (North-american), Social Drama, Road Movie","Henry Fonda, Jane Darwell, John Carradine, Charley Grapewin, Dorris Bowdon, Russell Simpson, John Qualen, O.Z. Whitehead, Eddie Quillan, Zeffie Tilbury, Ward Bond"
The Human Condition III: A Soldier's Prayer,Masaki Kobayashi,"War, Drama, Army, Psychological Drama, II World War, 1940s, Sequel","Tatsuya Nakadai, Michiyo Aratama, Yusuke Kawazu, Tamao Nakamura, Chishu Ryu, Taketoshi Naitô, Reiko Hitomi, Kyôko Kishida, Nobuo Kaneko, Fujio Suga, Keijiro Morozumi"
Dersu Uzala,Akira Kurosawa,"Adventure, Drama, 1900s, Friendship, Based on a true story, Hunting","Maksim Munzuk, Yuriy Solomin, Svetlana Danilchenko, Vladimir Kremena, Dmitriy Korshikov"
To Kill a Mockingbird,Robert Mulligan,"Drama, Courtroom Drama / Lawyers, Southern Gothic, Racism, Childhood, Small Town Life (North-american)","Gregory Peck, Mary Badham, Brock Peters, Phillip Alford, John Megna, Frank Overton, Rosemary Murphy, Robert Duvall"
Once Upon a Time in America,Sergio Leone,"Drama, Mafia, Crime, Friendship, 1920s, 1930s, 1960s","Robert De Niro, James Woods, Elizabeth McGovern, Tuesday Weld, William Forsythe, Treat Williams, Jennifer Connelly, Burt Young, Joe Pesci, Danny Aiello, Clem Caserta, James Russo, Mario Brega"
Sansho the Bailiff,Kenji Mizoguchi,"Drama, Feudal Japan, 12th Century, Slavery","Kinuyo Tanaka, Yoshiaki Hanayaki, Kyôko Kagawa, Eitarô Shindô, Akitake Kôno, Masao Shimizu, Ken Mitsuda, Kazukimi Okuni"
Bicycle Thieves,Vittorio De Sica,"Drama, Neorealism, Job/Employment","Lamberto Maggiorani, Enzo Staiola, Lianella Carell, Gino Saltamerenda, Vittorio Antonucci, Giulio Chiari, Fausto Guerzoni, Elena Altieri, Sergio Leone"
Some Like It Hot,Billy Wilder,"Comedy, 1920s, Mafia, Remake, Cult Movie","Marilyn Monroe, Jack Lemmon, Tony Curtis, George Raft, ""Pat OBrien"", Nehemiah Persoff, Joe E. Brown, Joan Shawlee, Billy Gray, George E. Stone, Mike Mazurki, Dave Barry, Harry Wilson, Beverly Wills, Edward G. Robinson Jr., Barbara Drew"
To Live,Akira Kurosawa,"Drama, Disease/illness, Old Age / Elderly, Psychological Drama, Job/Employment","Takashi Shimura, Nobuo Kaneko, Kyôko Seki, Makoto Kobori, Kumeko Urabe, Yoshie Minami, Miki Odagiri, Kamatari Fujiwara"
A Night at the Opera,Sam Wood,"Comedy, Opera","The Marx Brothers, Groucho Marx, Harpo Marx, Chico Marx, Margaret Dumont, Kitty Carlisle, Allan Jones, Sig Ruman, Walter Woolf King, Edward Keane, ""Robert Emmett OConnor"", Lorraine Bridges"
The Passion of Joan of Arc,Carl Theodor Dreyer,"Drama, Historical, Joan of Arc, 15th Century, Religion, Biography, Silent Film, Cult Movie","Maria Falconetti, Eugene Silvain, Maurice Schutz, Michel Simon, Antonin Artaud"
The General,"Buster Keaton, Clyde Bruckman","Comedy, Trains / Subways, Army, American Civil War, Cult Movie, Silent Film","Buster Keaton, Marion Mack, Glen Cavender, Jim Farley, Frederick Vroom, Charles Smith, Frank Varnes, Joe Keaton, Mike Donlin, Tom Nawm"
Seven,David Fincher,"Thriller, Mystery, Crime, Cop Movies, Serial Killers, Cult Movie, Neo-noir","Brad Pitt, Morgan Freeman, Gwyneth Paltrow, Kevin Spacey, John C. McGinley, Richard Roundtree, R. Lee Ermey, Leland Orser, Richard Schiff, Julie Araskog, Mark Boone Junior, Daniel Zacapa, Richard Portnow"
North by Northwest,Alfred Hitchcock,"Mystery, Spy Film, Cult Movie","Cary Grant, Eva Marie Saint, James Mason, Martin Landau, Leo G. Carroll, Philip Ober, Josephine Hutchinson, Edward Platt, Adam Williams, Jessie Royce Landis, Alfred Hitchcock, Edward Binns"
The Pianist,Roman Polanski,"Drama, II World War, Nazism, Holocaust, Music, Biography, Historical","Adrien Brody, Thomas Kretschmann, Maureen Lipman, Ed Stoppard, Emilia Fox, Frank Finlay, Julia Rayner, Jessica Kate Meyer, Morgane Polanski"
Limelight,Charles Chaplin,"Drama, Romance, Romantic Drama, Stage Play, Ballet, 1910s","Charles Chaplin, Claire Bloom, Nigel Bruce, Sydney Chaplin, Norman Lloyd, Buster Keaton, Melissa Hayden, Geraldine Chaplin"
The Executioner,Luis García Berlanga,"Comedy, Satire, Black Comedy, Cult Movie","José Isbert, Nino Manfredi, Emma Penella, José Luis López Vázquez, Ángel Álvarez, María Luisa Ponte, María Isbert, Julia Caba Alba, Guido Alberti, Erasmo Pascual, Xan das Bolas, José Orjas, José María Prada"
Apocalypse Now,Francis Ford Coppola,"War, Drama, Vietnam war, Cult Movie","Martin Sheen, Marlon Brando, Robert Duvall, Frederic Forrest, Sam Bottoms, Albert Hall, Laurence Fishburne, Harrison Ford, Dennis Hopper, G.D. Spradlin, Christian Marquand, Aurore Clément, Cynthia Wood"
Metropolis,Fritz Lang,"Sci-Fi, Drama, Dystopia, Steampunk, Robots, German Expressionism, Cult Movie, Silent Film","Gustav Fröhlich, Brigitte Helm, Alfred Abel, Rudolf Klein-Rogge, Fritz Rasp, Theodor Loos, Heinrich George, Fritz Alberti, Grete Berger, Heinrich Gotho, Georg John, Olaf Storm"
Vertigo,Alfred Hitchcock,"Mystery, Psychological Drama, Psychological Thriller, Cult Movie","James Stewart, Kim Novak, Henry Jones, Barbara Bel Geddes, Tom Helmore, Raymond Bailey, Ellen Corby, Lee Patrick, Konstantin Shayne"
The World of Apu,Satyajit Ray,"Drama, Family Relationships, Psychological Drama, Sequel","Soumitra Chatterjee, Sharmila Tagore, Alok Chakravarty, Swapan Mukherjee, Dhiresh Majumdar, Sefalika Devi, Dhiren Ghosh"
Tokyo Story,Yasujirō Ozu,"Drama, Old Age / Elderly, Family Relationships","Chishu Ryu, Chieko Higashiyama, Setsuko Hara, Sô Yamamura, Haruko Sugimura, Kuniko Miyake, Kyôko Kagawa, Eijirô Tono, Nobuo Nakamura, Shirô Ôsaka, Hisao Toake, Teruko Nagaoka, Mutsuko Sakura, Toyo Takahashi, Toru Abe, Sachiko Mitani"
Unforgiven,Clint Eastwood,"Western, Drama, Revenge, Old Age / Elderly","Clint Eastwood, Gene Hackman, Morgan Freeman, Richard Harris, Jaimz Woolvett, Saul Rubinek, Frances Fisher, Anna Thomson, Anthony James, Rob Campbell, David Mucci, Liisa Repo-Martell, Beverley Elliott"
The Silence of the Lambs,Jonathan Demme,"Thriller, Mystery, Horror, Crime, Psychological Thriller, Cop Movies, Cult Movie, Serial Killers, Kidnapping Film / Disappearance","Jodie Foster, Anthony Hopkins, Scott Glenn, Ted Levine, Anthony Heald, Diane Baker, Brooke Smith, Tracey Walter, Kasi Lemmons, Chris Isaak, Charles Napier, Roger Corman, Frankie Faison, Paul Lazar, Daniel Von Bargen, Cynthia Ettinger"
Pather Panchali,Satyajit Ray,"Drama, Family Relationships, Poverty, Childhood, 1910s","Kanu Bannerjee, Karuna Bannerjee, Uma Das Gupta, Subir Bannerjee"
Ordet (The Word),Carl Theodor Dreyer,"Drama, Religion, 1920s, Small Town Life (Non-North American), Remake, Cult Movie","Henrik Malberg, Emil Hass Christensen, Preben Lerdorff Rye, Cay Kristiansen, Brigitte Federspiel, Ann Elizabeth, Ejner Federspiel, Sylvia Eckhausen"
Rebecca,Alfred Hitchcock,"Drama, Mystery, Cult Movie","Laurence Olivier, Joan Fontaine, George Sanders, Judith Anderson, Nigel Bruce, Reginald Denny, C. Aubrey Smith, Gladys Cooper"
The Third Man,Carol Reed,"Film noir, Mystery, Drama, Friendship","Joseph Cotten, Alida Valli, Trevor Howard, Orson Welles, Bernard Lee, Paul Hörbiger, Ernst Deutsch, Siegfried Breuer, Erich Ponto, Wilfrid Hyde-White, Hedwig Bleibtreu"
Rear Window,Alfred Hitchcock,"Mystery, Spy Film, Photography, One Location, Cult Movie","James Stewart, Grace Kelly, Thelma Ritter, Raymond Burr, Judith Evelyn"
Nights of Cabiria,Federico Fellini,"Drama, Prostitution, Neorealism","Giulietta Masina, François Périer, Amedeo Nazzari, Aldo Silvani, Franca Marzi, Ennio Girolami, Mario Passante, Dorian Gray, Franco Fabrizi"
Rocco and His Brothers,Luchino Visconti,"Drama, Melodrama, Neorealism, Poverty, Family Relationships, Boxing","Alain Delon, Renato Salvatori, Annie Girardot, Katina Paxinou, Claudia Cardinale, Spiros Focás, Max Cartier, Rocco Vidolazzi, Roger Hanin, Paolo Stoppa, Suzy Delair, Claudia Mori, Adriana Asti"
What Ever Happened to Baby Jane?,Robert Aldrich,"Drama, Psychological Drama, Old Age / Elderly, Disability, Family Relationships","Bette Davis, Joan Crawford, Victor Buono, Wesley Addy, Julie Allred, Anne Barton, Marjorie Bennett, Bert Freed, Anna Lee, Maidie Norman, Dave Willock, William Aldrich, Russ Conway"
It's a Wonderful Life,Frank Capra,"Drama, Fantasy, Family-friendly, Christmas, Comedy-Drama","James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell, Henry Travers, Beulah Bondi, Frank Faylen, Ward Bond, Gloria Grahame, H.B. Warner, Frank Albertson, Todd Karns, Samuel S. Hinds"
Scarface,Brian De Palma,"Drama, Mafia, Drugs, Remake, Crime, Cult Movie","Al Pacino, Steven Bauer, Michelle Pfeiffer, Mary Elizabeth Mastrantonio, Robert Loggia, Miriam Colon, F. Murray Abraham, Paul Shenar, Harris Yulin, Dennis Holahan, Mark Margolis, Ángel Salazar, Arnaldo Santana"
The Last Laugh,F.W. Murnau,"Drama, German Expressionism, Silent Film, Old Age / Elderly","Emil Jannings, Maly Delschaft, Max Hiller, Emilie Kurz, Hans Unterkircher, Olaf Storm, Hermann Vallentin, Georg John, Emmy Wyda"
Scarlet Street,Fritz Lang,"Film noir, Drama, Remake, Painting, 1930s, Crime","Edward G. Robinson, Joan Bennett, Dan Duryea, Jess Baker, Margaret Lindsay, Rosalind Ivan, Samuel S. Hinds, Vladimir Sokoloff, Anita Bolster, Charles Kemper, Russell Hicks, Arthur Loft"
Freaks,Tod Browning,"Drama, Horror, Disability, Circus, Cult Movie","Wallace Ford, Leila Hyams, Olga Baclanova, Roscoe Ates, Henry Victor, Harry Earles, Daisy Earles, Rose Dione, Daisy Hilton, Violet Hilton, Schlitze, Josephine Joseph, Johnny Eck"
Forrest Gump,Robert Zemeckis,"Comedy, Drama, Romance, 1960s, 1970s, Disability, Comedy-Drama, Cult Movie, Vietnam war, ""New Years Eve"", Ping-pong","Tom Hanks, Robin Wright, Gary Sinise, Mykelti Williamson, Sally Field, Rebecca Williams, Michael Conner Humphreys, Haley Joel Osment, George Kelly, Bob Penny, John Randall, Sam Anderson, Margo Moorer"
"The Good, the Bad and the Ugly",Sergio Leone,"Western, Spaghetti Western, American Civil War, Cult Movie","Clint Eastwood, Lee Van Cleef, Eli Wallach, Aldo Giuffrè, Rada Rassimov, Mario Brega, Luigi Pistilli, Aldo Sambrell, Enzo Petito, Claudio Scarchilli, Al Mulock, John Bartha, Livio Lorenzon, Antonio Molino Rojo, Sandro Scarchilli, Chelo Alonso"
A Clockwork Orange,Stanley Kubrick,"Drama, Crime, Dystopia, Futuristic Thriller, Psychological Thriller, Cult Movie, Street Gang","Malcolm McDowell, Patrick Magee, Michael Bates, Adrienne Corri, Warren Clarke, John Clive, Aubrey Morris, Carl Duering, Paul Farrell, Clive Francis, Michael Gover, Miriam Karlin, James Marcus"
Once Upon a Time in the West,Sergio Leone,"Western, Spaghetti Western, Revenge, Cult Movie","Henry Fonda, Charles Bronson, Claudia Cardinale, Gabriele Ferzetti, Frank Wolff, Al Mulock, Jason Robards, Woody Strode, Jack Elam, Lionel Stander, Paolo Stoppa, Keenan Wynn, Aldo Sambrell, Robert Hossein"
Dial M for Murder,Alfred Hitchcock,"Mystery, Thriller, Crime, 3D, Cult Movie, Psychological Thriller","Grace Kelly, Ray Milland, Robert Cummings, John Williams, Anthony Dawson, Leo Britt, Patrick Allen, George Leigh"
The Hustler,Robert Rossen,"Drama, Gambling, Pool (Game), Alcoholism","Paul Newman, Jackie Gleason, George C. Scott, Piper Laurie, Myron McCormick, Murray Hamilton, Vincent Gardenia, Michael Constantine"
Samurai Rebellion,Masaki Kobayashi,"Drama, Samurai, Feudal Japan, 18th Century","Toshirô Mifune, Yôko Tsukasa, Go Kato, Tatsuya Nakadai, Etsuko Ichihara, Isao Yamagata, Tatsuyoshi Ehara, Shigeru Kôyama, Tatsuo Matsumura, Michiko Ôtsuka"
The Best Years of Our Lives,William Wyler,"Drama, Family Relationships, Disability, II World War, Melodrama","Dana Andrews, Fredric March, Myrna Loy, Harold Russell, Teresa Wright, Virginia Mayo, ""Cathy ODonnell"", Hoagy Carmichael, Roman Bohnen, Minna Gombell, Don Beddoe, Steve Cochran, Ray Collins"
How Green Was My Valley,John Ford,"Drama, Melodrama, Family Relationships, Small Town Life (Non-North American), Social Drama, Job/Employment","Walter Pidgeon, ""Maureen OHara"", Roddy McDowall, Donald Crisp, John Loder, Anna Lee, Arthur Shields, Barry Fitzgerald, Patric Knowles"
Judgment at Nuremberg,Stanley Kramer,"Drama, Courtroom Drama / Lawyers, Historical, Nazism, Holocaust, 1940s, II World War","Spencer Tracy, Burt Lancaster, Richard Widmark, Marlene Dietrich, Maximilian Schell, Judy Garland, Montgomery Clift, Edward Binns, Werner Klemperer, Torben Meyer, Martin Brandt, William Shatner, Kenneth MacKenna, Alan Baxter, Ray Teal"
"One, Two, Three",Billy Wilder,"Comedy, Satire, Cold War","James Cagney, Pamela Tiffin, Horst Buchholz, Arlene Francis, Liselotte Pulver, Howard St. John, Hanns Lothar, Leon Askin, Ralf Wolter, Karl Lieffen, Hubert von Meyernick, Red Buttons"
Touch of Evil,Orson Welles,"Film noir, Mystery, Crime, Cop Movies, Kidnapping Film / Disappearance","Charlton Heston, Janet Leigh, Orson Welles, Marlene Dietrich, Joseph Calleia, Akim Tamiroff, Dennis Weaver, Ray Collins, Mercedes McCambridge, Joseph Cotten, Zsa Zsa Gabor"
The Great Escape,John Sturges,"Drama, Adventure, II World War, Prison Drama, Nazism, Based on a true story","Steve McQueen, James Garner, Charles Bronson, Richard Attenborough, James Coburn, James Donald, Donald Pleasence, David McCallum, Gordon Jackson, Angus Lennie, Hannes Messemer, John Leyton, Lawrence Montaigne, Nigel Stock"
Citizen Kane,Orson Welles,"Drama, Journalism, Cult Movie, ""New Years Eve""","Orson Welles, Joseph Cotten, Everett Sloane, George Coulouris, Dorothy Comingore, Ray Collins, Agnes Moorehead, Paul Stewart, Ruth Warrick, Erskine Sanford, William Alland, Alan Ladd, ""Arthur OConnell"", Fortunio Bonanova"
Gran Torino,Clint Eastwood,"Drama, Old Age / Elderly, Immigration, Racism, Friendship","Clint Eastwood, Christopher Carley, Bee Vang, Ahney Her, John Carroll Lynch, Cory Hardrict, Brian Haley, Geraldine Hughes, Dreama Walker, Doua Moua, Chee Thao, Scott Eastwood, Brian Howe"
The Lord of the Rings: The Return of the King,Peter Jackson,"Fantasy, Adventure, Action, Medieval Fantasy, Sword and Sorcery, Epic film, Sequel, Cult Movie","Elijah Wood, Viggo Mortensen, Ian McKellen, Sean Astin, Andy Serkis, John Rhys-Davies, Orlando Bloom, John Noble, Miranda Otto, David Wenham, Bernard Hill, Billy Boyd, Dominic Monaghan"
Aparajito (The Unvanquished),Satyajit Ray,"Drama, 1920s, Family Relationships, Childhood, Teen/coming-of-age, Poverty, Sequel, Psychological Drama","Kanu Bannerjee, Karuna Bannerjee, Pinaki Sengupta, Ramani Sengupta, Smaran Ghosal, Santi Gupta, Ranibala, Sudipta Roy, Charuprakash Ghosh"
A Man Escaped,Robert Bresson,"Drama, Prison Drama, Nazism, II World War","François Leterrier, Roland Monod, Charles Le Clainche, Maurice Beerblock"
Tales of Ugetsu,Kenji Mizoguchi,"Drama, Fantasy, 16th Century, Feudal Japan, Supernatural","Machiko Kyô, Mitsuko Mito, Kinuyo Tanaka, Masayuki Mori, Eitarô Ozawa, Eigoro Onoe, Ichisaburo Sawamura, Ryôsuke Kagawa, Sugisaku Aoyama"
"Rome, Open City",Roberto Rossellini,"Drama, War, II World War, Neorealism, Based on a true story","Aldo Fabrizi, Anna Magnani, Marcello Pagliero, Maria Michi, Harry Feist, Vito Annichiarico, Francesco Grandjacquet, Giovanna Galletti, Carla Rovere"
1900 (Novecento),Bernardo Bertolucci,"Drama, 1900s, 1910s, 1920s, 1930s, 1940s, Friendship, Historical","Gérard Depardieu, Robert De Niro, Dominique Sanda, Stefania Sandrelli, Donald Sutherland, Burt Lancaster, Sterling Hayden, Francesca Bertini, Laura Betti, Werner Bruhns, Stefania Casini, Anna Henkel, Ellen Schwiers, Alida Valli, Romolo Valli"
