Title,Directors,genres,Actors
Man Facing Southeast,Eliseo Subiela,"Drama, Mystery, Sci-Fi, Disability","Hugo Soto, Lorenzo Quinteros, Inés Vernengo, Rubens Correa, David Edery, Tomás Voth, Rodolfo Rodas, Horacio Marasi, Jean-Pierre Reguerraz"
Pelle the Conqueror,Bille August,"Drama, Social Drama, 1900s, Poverty, Immigration","Max von Sydow, Pelle Hvenegaard, Astrid Villaume, Lars Simonsen, Erik Paaske, Kristina Tornqvist, Björn Granath, Troels Asmussen, Karen Wegener, Sofie Gråbøl, Buster Larsen, John Wittig, Troels Munk"
Top Hat,Mark Sandrich,"Musical, Comedy, Romance, Dancing, Ballet, Romantic Comedy","Fred Astaire, Ginger Rogers, Edward Everett Horton, Helen Broderick, Erik Rhodes, Eric Blore, Lucille Ball, Donald Meek, ""Dennis OKeefe"""
Go West,Edward Buzzell,"Comedy, Western, Musical","The Marx Brothers, Groucho Marx, Harpo Marx, Chico Marx, John Carroll, Diana Lewis, Tully Marshall, Robert Barrat"
No Man's Land,Danis Tanovic,"Drama, Comedy, War, Black Comedy, Bosnian War","Branko Djuric, Rene Bitorajac, Filip Sovagovic, Katrin Cartlidge, Simon Callow, Serge-Henri Valcke, Georges Siatidis"
The Barbarian Invasions,Denys Arcand,"Comedy, Drama, Disease/illness, Friendship, Family Relationships, Sequel","Rémy Girard, Stéphane Rousseau, Marie-Josée Croze, Dorothée Berryman, Louise Portal, Dominique Michel, Yves Jacques, Pierre Curzi, Marina Hands, Toni Cecchinato, Mitsou Gélinas, Sophie Lorain, Johanne-Marie Tremblay, Denis Bouchard, Micheline Lanctôt, Roy Dupuis"
Porco Rosso,Hayao Miyazaki,"Animation, Fantasy, Adventure, 1930s, Planes, Pirates",
Funny Games,Michael Haneke,"Thriller, Psychological Thriller, Kidnapping Film / Disappearance, Serial Killers, Crime, Home Invasion, Cult Movie","Susanne Lothar, Ulrich Mühe, Arno Frisch, Frank Giering, Stefan Clapczynski"
The Omen,Richard Donner,"Horror, Mystery, Supernatural, Childhood, End of the World","Gregory Peck, Lee Remick, Harvey Stephens, David Warner, Billie Whitelaw, Leo McKern, Patrick Troughton, Robert Rietty, Martin Benson"
Monty Python and the Holy Grail,"Terry Jones, Terry Gilliam","Comedy, Broad Comedy, Satire, Middle Ages, 10th Century, Cult Movie","John Cleese, Michael Palin, Terry Jones, Terry Gilliam, Graham Chapman, Eric Idle, Carol Cleveland, Connie Booth, Neil Innes, Bee Duffell"
Donnie Darko,Richard Kelly,"Fantasy, Sci-Fi, Mystery, Psychological Drama, Time Travel, 1980s, Cult Movie, Independent Film (US)","Jake Gyllenhaal, Maggie Gyllenhaal, Patrick Swayze, Jena Malone, Mary McDonnell, Drew Barrymore, Holmes Osborne, Noah Wyle, Katharine Ross, Daveigh Chase, James Duval, Arthur Taxier, Stuart Stone, Seth Rogen, Ashley Tisdale"
12 Monkeys,Terry Gilliam,"Sci-Fi, Fantasy, Mystery, Post-apocalyptic Future, Pandemic, Dystopia, Time Travel, Cult Movie, Remake","Bruce Willis, Madeleine Stowe, Brad Pitt, Christopher Plummer, Jon Seda, Joseph Melito, David Morse, Michael Chance, Vernon Campbell, H. Michael Walls, Bob Adrian, Simon Jones, Carol Florence"
Dodsworth,William Wyler,"Drama, Melodrama","Walter Huston, Ruth Chatterton, Mary Astor, David Niven, Paul Lukas, John Payne, Maria Ouspenskaya, Spring Byington"
They Drive by Night,Raoul Walsh,"Drama, Film noir, Thriller, Crime","George Raft, Ann Sheridan, Ida Lupino, Humphrey Bogart, Gale Page, Alan Hale, Roscoe Karns, John Litel, George Tobias"
The Suspect,Robert Siodmak,"Film noir, Thriller, Drama, 1900s, Melodrama, Psychological Thriller","Charles Laughton, Ella Raines, Henry Daniell, Molly Lamont, Dean Harens, Stanley Ridges, Rosalind Ivan, Eve Amber, Maude Eburne, Clifford Brooke"
Small Change,François Truffaut,"Comedy, Drama, Childhood, Education, Schools & University, Small Town Life (Non-North American), Ensemble Film","Georges Desmouceaux, Jean-François Stévenin, Philippe Goldmann, Nicole Félix, Chantal Mercier, Virginie Thévenet, Marcel Berbert, Tania Torrens, Eva Truffaut, Corinne Boucart, Bruno de Stabenrath, François Truffaut"
Lola Montes,Max Ophüls,"Drama, Circus, 19th Century, Based on a true story, Biography","Martine Carol, Peter Ustinov, Anton Walbrook, Oskar Werner, Henri Guisol, Lise Delamare, Paulette Dubost, Jean Galland, Ivan Desny, Will Quadflieg, Héléna Manson, Germaine Delbat, Jacques Fayet, Friedrich Domin, Werner Finck"
Some Came Running,Vincente Minnelli,"Drama, Melodrama, 1940s","Frank Sinatra, Dean Martin, Shirley MacLaine, Martha Hyer, Leora Dana, Joe Gray, Nancy Gates, Arthur Kennedy, Connie Gilchrist, Larry Gates, Roy Engel, Ric Roman, Jan Arvan"
Paisan,Roberto Rossellini,"Drama, War, Neorealism, II World War, Army, Anthology Film","Maria Michi, Gar Moore, Carmela Sazio, Harriet Medin, William Tubbs, Dots M. Johnson, Dale Edmonds, Renzo Avanzo"
Drunken Angel,Akira Kurosawa,"Drama, Film noir, Crime, Yakuza & Triad, Disease/illness, Friendship","Takashi Shimura, Toshirô Mifune, Reisaburo Yamamoto, Chieko Nakakita, Michiyo Kogure, Noriko Sengoku, Eitarô Shindô, Sachio Sakai, Choko Iida, Taiji Tonoyama, Katao Kawasaki, Yoshiko Kuga, Shizuko Kasagi, Masao Shimizu, Sumire Shiroki"
Padre padrone,"Paolo Taviani, Vittorio Taviani","Drama, Biography, Small Town Life (Non-North American), Childhood, Family Relationships","Omero Antonutti, Saverio Marconi, Fabrizio Forte, Marcella Michelangeli, Stanko Molnar, Marino Cenna, Nanni Moretti, Gavino Ledda"
